run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-ac-run07,binding,MLKEM1024,15.84915342778773,15.806671797518925,15.89275064590028,15.841252590044316,15.770651320241011,15.872329054190685
2026-08-15-m4-ac-run07,binding,MLKEM768,15.91206657800251,15.799057016264374,16.099416903085395,15.837600376337042,15.751114185960452,15.848366827068329
2026-08-15-m4-ac-run07,binding,MLKEM768-X25519,15.884725052157371,15.839943045747518,15.930405865158813,15.860413000094493,15.843340999405784,15.929438665421403
2026-08-15-m4-ac-run07,establish_channel,MLKEM1024,332241.7735585553,332015.1330402132,332545.6082109255,332040.3258904838,331970.90476190473,332126.4273504274
2026-08-15-m4-ac-run07,establish_channel,MLKEM768,219379.0132306682,218730.58494335166,220447.68884222445,218629.78229813665,218511.54736842104,218687.48263736264
2026-08-15-m4-ac-run07,establish_channel,MLKEM768-X25519,282778.5736173142,282623.46202420024,282952.52620363253,282603.5540441177,282521.7564102564,282692.79326923075
2026-08-15-m4-ac-run07,negotiation,MLKEM1024,2.761762729811185,2.7471480050663417,2.7771474143868136,2.7444174035273194,2.729747292829626,2.764152433889903
2026-08-15-m4-ac-run07,negotiation,MLKEM768,2.8709569985485706,2.8351567333182284,2.9077090826516794,2.836243245966854,2.7361302943566215,2.979151919284413
2026-08-15-m4-ac-run07,negotiation,MLKEM768-X25519,2.749570284427895,2.733947396093643,2.767186990981336,2.7273892527704264,2.7189525060501296,2.7433829680369994
2026-08-15-m4-ac-run07,open_1k,MLKEM1024,6129.674792699748,6122.172621696833,6138.919177220968,6116.325428194994,6110.533333333334,6120.229166666667
2026-08-15-m4-ac-run07,open_1k,MLKEM768,6119.554925685126,6113.03938684542,6126.612887070984,6112.641111111111,6106.466666666666,6117.250198075835
2026-08-15-m4-ac-run07,open_1k,MLKEM768-X25519,6131.406678313565,6117.336816430092,6153.957236725158,6110.286538461538,6105.442073170731,6117.663265306122
2026-08-15-m4-ac-run07,profile_resolution,MLKEM1024,14.724604088590272,14.684026993754584,14.77551575871488,14.686687760866473,14.68101438705981,14.691006606775774
2026-08-15-m4-ac-run07,profile_resolution,MLKEM768,14.560855697187693,14.512112117926575,14.611575989585477,14.420676238324978,14.409903516567947,14.550918761734335
2026-08-15-m4-ac-run07,profile_resolution,MLKEM768-X25519,12.506979808256906,12.498814616513357,12.516347942982318,12.493035907765561,12.490209816658629,12.495826974022563
2026-08-15-m4-ac-run07,seal_1k,MLKEM1024,6119.7191046161015,6105.187454135077,6137.605871639602,6095.252911392405,6088.766862071288,6103.990476190476
2026-08-15-m4-ac-run07,seal_1k,MLKEM768,6102.010074967443,6096.483226008684,6108.637151223451,6093.097191697192,6089.092307692307,6097.467295597484
2026-08-15-m4-ac-run07,seal_1k,MLKEM768-X25519,6103.0286886226395,6094.558239338682,6114.058175241512,6089.841503267974,6086.547794117647,6095.114130434783
2026-08-15-m4-ac-run08,activate_receiver,MLKEM1024,209504.06082475506,208828.04436318335,210140.12978330068,210473.32882011606,210257.05464480876,210742.23163841807
2026-08-15-m4-ac-run08,activate_receiver,MLKEM768,141134.17879376197,140631.36677744705,141616.8735529812,141635.3442687747,141527.57580037665,141724.1263300414
